birth,location,date
1940,"Solotvina, Czechoslovakia",1940.01.01
1940,"Feheryarmat, Hungary",1940.01.01
1897,"Deutschkreuz, Austria",1897.01.01
1897,"Deutschkreuz, Austria",1897.01.01
1895,"Deutschkreuz, Austria",1895.01.01
1900,"Deutschkreuz, Austria",1900.01.01
1892,"Deutschkreuz, Austria",1892.01.01
1899,"Deutschkreuz, Austria",1899.01.01
1897,"Bratislava, Czechoslovakia",1897.01.01
1885,"Bratislava, Czechoslovakia",1885.01.01
1895,"Bratislava, Czechoslovakia",1895.01.01
1900,"Bratislava, Czechoslovakia",1900.01.01
1892,"Bratislava, Czechoslovakia",1892.01.01
1905,"Bratislava, Czechoslovakia",1905.01.01
1890,"Bratislava, Czechoslovakia",1890.01.01
1878,"Bratislava, Czechoslovakia",1878.01.01
1909,"Bratislava, Czechoslovakia",1909.01.01
1924,"Bratislava, Czechoslovakia",1924.01.01
1911,"Bratislava, Czechoslovakia",1911.01.01
1913,"Bratislava, Czechoslovakia",1913.01.01
1907,"Bratislava, Czechoslovakia",1907.01.01
1897,"Janov, Poland",1897.01.01
1908,"Janov, Poland",1908.01.01
1929,"Bendzin, Poland",1929.01.01
1895,"Bendzin, Poland",1895.01.01
1921,"Bendzin, Poland",1921.01.01
1900,"Bendzin, Poland",1900.01.01
1900,"Bendzin, Poland",1900.01.01
1933,"Bendzin, Poland",1933.01.01
1890,"Bendzin, Poland",1890.01.01
1916,"Bendzin, Poland",1916.01.01
1916,"Bendzin, Poland",1916.01.01
1924,"Bendzin, Poland",1924.01.01
1925,"Bendzin, Poland",1925.01.01
1925,"Bendzin, Poland",1925.01.01
1913,"Bendzin, Poland",1913.01.01
1907,"Bendzin, Poland",1907.01.01
1906,"Bendzin, Poland",1906.01.01
1936,"BÄ™dzin, Poland",1936.01.01
1885,"BÄ™dzin, Poland",1885.01.01
1917,"BÄ™dzin, Poland",1917.01.01
1900,"BÄ™dzin, Poland",1900.01.01
1887,"BÄ™dzin, Poland",1887.01.01
1890,"BÄ™dzin, Poland",1890.01.01
1916,"BÄ™dzin, Poland",1916.01.01
1919,"BÄ™dzin, Poland",1919.01.01
1860,"BÄ™dzin, Poland",1860.01.01
1853,"BÄ™dzin, Poland",1853.01.01
1853,"BÄ™dzin, Poland",1853.01.01
