birth,location,date
1913,"Amsterdam, The Netherlands",1913.01.01
1913,"Amsterdam, The Netherlands",1913.01.01
1913,"Amsterdam, The Netherlands",1913.01.01
1914,"Amsterdam, The Netherlands",1914.01.01
1914,"Amsterdam, The Netherlands",1914.01.01
1914,"Amsterdam, The Netherlands",1914.01.01
1914,"Amsterdam, The Netherlands",1914.01.01
1914,"Amsterdam, The Netherlands",1914.01.01
1914,"Amsterdam, The Netherlands",1914.01.01
1914,"Amsterdam, The Netherlands",1914.01.01
1915,"Amsterdam, The Netherlands",1915.01.01
1916,"Amsterdam, The Netherlands",1916.01.01
1916,"Amsterdam, The Netherlands",1916.01.01
1917,"Amsterdam, The Netherlands",1917.01.01
1917,"Amsterdam, The Netherlands",1917.01.01
1917,"Amsterdam, The Netherlands",1917.01.01
1918,"Amsterdam, The Netherlands",1918.01.01
1918,"Amsterdam, The Netherlands",1918.01.01
1918,"Amsterdam, The Netherlands",1918.01.01
1918,"Amsterdam, The Netherlands",1918.01.01
1918,"Amsterdam, The Netherlands",1918.01.01
1919,"Amsterdam, The Netherlands",1919.01.01
1920,"Amsterdam, The Netherlands",1920.01.01
1920,"Amsterdam, The Netherlands",1920.01.01
1921,"Amsterdam, The Netherlands",1921.01.01
1921,"Amsterdam, The Netherlands",1921.01.01
1921,"Amsterdam, The Netherlands",1921.01.01
1921,"Amsterdam, The Netherlands",1921.01.01
1921,"Amsterdam, The Netherlands",1921.01.01
1922,"Amsterdam, The Netherlands",1922.01.01
1922,"Amsterdam, The Netherlands",1922.01.01
1922,"Amsterdam, The Netherlands",1922.01.01
1922,"Amsterdam, The Netherlands",1922.01.01
1922,"Amsterdam, The Netherlands",1922.01.01
1922,"Amsterdam, The Netherlands",1922.01.01
1922,"Amsterdam, The Netherlands",1922.01.01
1922,"Amsterdam, The Netherlands",1922.01.01
1923,"Amsterdam, The Netherlands",1923.01.01
1924,"Amsterdam, The Netherlands",1924.01.01
1925,"Amsterdam, The Netherlands",1925.01.01
1926,"Amsterdam, The Netherlands",1926.01.01
1926,"Amsterdam, The Netherlands",1926.01.01
1927,"Amsterdam, The Netherlands",1927.01.01
1927,"Amsterdam, The Netherlands",1927.01.01
1928,"Amsterdam, The Netherlands",1928.01.01
1929,"Amsterdam, The Netherlands",1929.01.01
1938,"Amsterdam, The Netherlands",1938.01.01
1938,"Amsterdam, The Netherlands",1938.01.01
1938,"Amsterdam, The Netherlands",1938.01.01
1886,"Ancona, Italy",1886.01.01
1895,"Anderlecht, Belgium",1895.01.01
1926,"Annopol, Poland",1926.01.01
1896,"Ansbach, Germany",1896.01.01
1929,"Ansbach, Germany",1929.01.01
1934,"Antwerp, Belgium",1934.01.01
1880,"Antwerpen, Belgium",1880.01.01
1893,"Antwerpen, Belgium",1893.01.01
1894,"Antwerpen, Belgium",1894.01.01
