birth,location,date
1892,"Krakow, Poland",1892.01.01
1892,"Krakow, Poland",1892.01.01
1892,"Krakow, Poland",1892.01.01
1932,"Krakow, Poland",1932.01.01
1930,"Krakow, Poland",1930.01.01
1930,"Krakow, Poland",1930.01.01
1930,"Krakow, Poland",1930.01.01
1924,"Krakow, Poland",1924.01.01
1924,"Krakow, Poland",1924.01.01
1924,"Krakow, Poland",1924.01.01
1890,"Krakow, Poland",1890.01.01
1890,"Krakow, Poland",1890.01.01
1910,"Krakow, Poland",1910.01.01
1910,"Krakow, Poland",1910.01.01
1910,"Krakow, Poland",1910.01.01
1910,"Krakow, Poland",1910.01.01
1910,"Krakow, Poland",1910.01.01
1928,"Krakow, Poland",1928.01.01
1921,"Krakow, Poland",1921.01.01
1921,"Krakow, Poland",1921.01.01
1909,"Krakow, Poland",1909.01.01
1894,"Krakow, Poland",1894.01.01
1911,"Krakow, Poland",1911.01.01
1915,"Krakow, Poland",1915.01.01
1915,"Krakow, Poland",1915.01.01
1915,"Krakow, Poland",1915.01.01
1935,"Krakow, Poland",1935.01.01
1903,"Krakow, Poland",1903.01.01
1903,"Krakow, Poland",1903.01.01
1903,"Krakow, Poland",1903.01.01
1903,"Krakow, Poland",1903.01.01
1878,"Krakow, Poland",1878.01.01
1878,"Krakow, Poland",1878.01.01
1885,"Krakow, Poland",1885.01.01
1871,"Krakow, Poland",1871.01.01
1908,"Krakow, Poland",1908.01.01
1905,"Krakow, Poland",1905.01.01
1905,"Krakow, Poland",1905.01.01
1913,"Krakow, Poland",1913.01.01
1913,"Krakow, Poland",1913.01.01
1883,"Krakow, Poland",1883.01.01
1883,"Krakow, Poland",1883.01.01
1896,"Krakow, Poland",1896.01.01
1896,"Krakow, Poland",1896.01.01
1868,"Krakow, Poland",1868.01.01
1884,"Krakow, Poland",1884.01.01
1938,"Krakow, Poland",1938.01.01
1875,"Krakow, Poland",1875.01.01
1889,"Krakow, Poland",1889.01.01
1889,"Krakow, Poland",1889.01.01
1889,"Krakow, Poland",1889.01.01
1887,"Krakow, Poland",1887.01.01
1887,"Krakow, Poland",1887.01.01
1876,"Krakow, Poland",1876.01.01
1863,"Krakow, Poland",1863.01.01
1920,"Wyszogrod, Poland",1920.01.01
1920,"Wyszogrod, Poland",1920.01.01
1923,"Wyszogrod, Poland",1923.01.01
1923,"Wyszogrod, Poland",1923.01.01
1880,"Wyszogrod, Poland",1880.01.01
1882,"Wyszogrod, Poland",1882.01.01
1918,"Wyszogrod, Poland",1918.01.01
1918,"Wyszogrod, Poland",1918.01.01
1911,"Wyszogrod, Poland",1911.01.01
1883,"Wyszogrod, Poland",1883.01.01
1917,"Wyszogrod, Poland",1917.01.01
1889,"Wyszogrod, Poland",1889.01.01
1920,"Auschwitz, Poland",1920.01.01
1920,"Auschwitz, Poland",1920.01.01
1892,"Auschwitz, Poland",1892.01.01
1892,"Auschwitz, Poland",1892.01.01
1890,"Auschwitz, Poland",1890.01.01
1909,"Auschwitz, Poland",1909.01.01
1894,"Auschwitz, Poland",1894.01.01
1925,"Auschwitz, Poland",1925.01.01
1907,"Auschwitz, Poland",1907.01.01
1897,"Auschwitz, Poland",1897.01.01
1896,"Auschwitz, Poland",1896.01.01
1920,"Drobin, Poland",1920.01.01
1929,"Drobin, Poland",1929.01.01
1885,"Drobin, Poland",1885.01.01
1913,"Drobin, Poland",1913.01.01
1916,"Drobin, Poland",1916.01.01
1865,"Drobin, Poland",1865.01.01
1920,"Skidel, Poland",1920.01.01
1898,"Skidel, Poland",1898.01.01
1924,"Skidel, Poland",1924.01.01
1921,"Skidel, Poland",1921.01.01
1896,"Skidel, Poland",1896.01.01
1920,"Krakau, Poland",1920.01.01
1899,"Krakau, Poland",1899.01.01
1902,"Krakau, Poland",1902.01.01
1904,"Krakau, Poland",1904.01.01
1914,"Krakau, Poland",1914.01.01
1921,"Krakau, Poland",1921.01.01
1911,"Krakau, Poland",1911.01.01
1903,"Krakau, Poland",1903.01.01
1896,"Krakau, Poland",1896.01.01
1917,"Krakau, Poland",1917.01.01
1920,"Mlawa, Poland",1920.01.01
1920,"Mlawa, Poland",1920.01.01
1902,"Mlawa, Poland",1902.01.01
1912,"Mlawa, Poland",1912.01.01
1880,"Mlawa, Poland",1880.01.01
1900,"Mlawa, Poland",1900.01.01
1922,"Mlawa, Poland",1922.01.01
1928,"Mlawa, Poland",1928.01.01
1909,"Mlawa, Poland",1909.01.01
1911,"Mlawa, Poland",1911.01.01
1915,"Mlawa, Poland",1915.01.01
1926,"Mlawa, Poland",1926.01.01
1906,"Mlawa, Poland",1906.01.01
1929,"Mlawa, Poland",1929.01.01
1885,"Mlawa, Poland",1885.01.01
1885,"Mlawa, Poland",1885.01.01
1916,"Mlawa, Poland",1916.01.01
1917,"Mlawa, Poland",1917.01.01
1889,"Mlawa, Poland",1889.01.01
1887,"Mlawa, Poland",1887.01.01
1920,"Piotrkow, Poland",1920.01.01
1920,"Piotrkow, Poland",1920.01.01
1923,"Piotrkow, Poland",1923.01.01
1923,"Piotrkow, Poland",1923.01.01
1880,"Piotrkow, Poland",1880.01.01
1880,"Piotrkow, Poland",1880.01.01
1880,"Piotrkow, Poland",1880.01.01
1898,"Piotrkow, Poland",1898.01.01
1914,"Piotrkow, Poland",1914.01.01
1914,"Piotrkow, Poland",1914.01.01
1895,"Piotrkow, Poland",1895.01.01
1890,"Piotrkow, Poland",1890.01.01
1890,"Piotrkow, Poland",1890.01.01
1921,"Piotrkow, Poland",1921.01.01
1911,"Piotrkow, Poland",1911.01.01
1878,"Piotrkow, Poland",1878.01.01
1908,"Piotrkow, Poland",1908.01.01
1916,"Piotrkow, Poland",1916.01.01
1916,"Piotrkow, Poland",1916.01.01
1920,"Sosnovice, Poland",1920.01.01
1902,"Sosnovice, Poland",1902.01.01
1904,"Sosnovice, Poland",1904.01.01
1912,"Sosnovice, Poland",1912.01.01
1907,"Sosnovice, Poland",1907.01.01
1916,"Sosnovice, Poland",1916.01.01
1889,"Sosnovice, Poland",1889.01.01
1920,"Radom, Poland",1920.01.01
1904,"Radom, Poland",1904.01.01
1891,"Radom, Poland",1891.01.01
1900,"Radom, Poland",1900.01.01
1900,"Radom, Poland",1900.01.01
1922,"Radom, Poland",1922.01.01
1924,"Radom, Poland",1924.01.01
1890,"Radom, Poland",1890.01.01
1910,"Radom, Poland",1910.01.01
1910,"Radom, Poland",1910.01.01
1910,"Radom, Poland",1910.01.01
1911,"Radom, Poland",1911.01.01
1903,"Radom, Poland",1903.01.01
1893,"Radom, Poland",1893.01.01
1893,"Radom, Poland",1893.01.01
1908,"Radom, Poland",1908.01.01
1905,"Radom, Poland",1905.01.01
1888,"Radom, Poland",1888.01.01
1888,"Radom, Poland",1888.01.01
1920,"Lodz, Poland",1920.01.01
1920,"Lodz, Poland",1920.01.01
1920,"Lodz, Poland",1920.01.01
1920,"Lodz, Poland",1920.01.01
1899,"Lodz, Poland",1899.01.01
1899,"Lodz, Poland",1899.01.01
1899,"Lodz, Poland",1899.01.01
1899,"Lodz, Poland",1899.01.01
1902,"Lodz, Poland",1902.01.01
1902,"Lodz, Poland",1902.01.01
1902,"Lodz, Poland",1902.01.01
1902,"Lodz, Poland",1902.01.01
1902,"Lodz, Poland",1902.01.01
1902,"Lodz, Poland",1902.01.01
1904,"Lodz, Poland",1904.01.01
1904,"Lodz, Poland",1904.01.01
1923,"Lodz, Poland",1923.01.01
1923,"Lodz, Poland",1923.01.01
1912,"Lodz, Poland",1912.01.01
1912,"Lodz, Poland",1912.01.01
1912,"Lodz, Poland",1912.01.01
1912,"Lodz, Poland",1912.01.01
1912,"Lodz, Poland",1912.01.01
1912,"Lodz, Poland",1912.01.01
1912,"Lodz, Poland",1912.01.01
1912,"Lodz, Poland",1912.01.01
1912,"Lodz, Poland",1912.01.01
1912,"Lodz, Poland",1912.01.01
1898,"Lodz, Poland",1898.01.01
1898,"Lodz, Poland",1898.01.01
1898,"Lodz, Poland",1898.01.01
1891,"Lodz, Poland",1891.01.01
1870,"Lodz, Poland",1870.01.01
1900,"Lodz, Poland",1900.01.01
1900,"Lodz, Poland",1900.01.01
1900,"Lodz, Poland",1900.01.01
1900,"Lodz, Poland",1900.01.01
1900,"Lodz, Poland",1900.01.01
1900,"Lodz, Poland",1900.01.01
1900,"Lodz, Poland",1900.01.01
1882,"Lodz, Poland",1882.01.01
1914,"Lodz, Poland",1914.01.01
1914,"Lodz, Poland",1914.01.01
1914,"Lodz, Poland",1914.01.01
1895,"Lodz, Poland",1895.01.01
1895,"Lodz, Poland",1895.01.01
1922,"Lodz, Poland",1922.01.01
1922,"Lodz, Poland",1922.01.01
1892,"Lodz, Poland",1892.01.01
1892,"Lodz, Poland",1892.01.01
1930,"Lodz, Poland",1930.01.01
1930,"Lodz, Poland",1930.01.01
1924,"Lodz, Poland",1924.01.01
1924,"Lodz, Poland",1924.01.01
1924,"Lodz, Poland",1924.01.01
1924,"Lodz, Poland",1924.01.01
1890,"Lodz, Poland",1890.01.01
1890,"Lodz, Poland",1890.01.01
1890,"Lodz, Poland",1890.01.01
1890,"Lodz, Poland",1890.01.01
1910,"Lodz, Poland",1910.01.01
1910,"Lodz, Poland",1910.01.01
1910,"Lodz, Poland",1910.01.01
1910,"Lodz, Poland",1910.01.01
1910,"Lodz, Poland",1910.01.01
1928,"Lodz, Poland",1928.01.01
1928,"Lodz, Poland",1928.01.01
1921,"Lodz, Poland",1921.01.01
1921,"Lodz, Poland",1921.01.01
1921,"Lodz, Poland",1921.01.01
1921,"Lodz, Poland",1921.01.01
1921,"Lodz, Poland",1921.01.01
1921,"Lodz, Poland",1921.01.01
1909,"Lodz, Poland",1909.01.01
1909,"Lodz, Poland",1909.01.01
1909,"Lodz, Poland",1909.01.01
1909,"Lodz, Poland",1909.01.01
1909,"Lodz, Poland",1909.01.01
1909,"Lodz, Poland",1909.01.01
1881,"Lodz, Poland",1881.01.01
1918,"Lodz, Poland",1918.01.01
1918,"Lodz, Poland",1918.01.01
1918,"Lodz, Poland",1918.01.01
1911,"Lodz, Poland",1911.01.01
1911,"Lodz, Poland",1911.01.01
1915,"Lodz, Poland",1915.01.01
1915,"Lodz, Poland",1915.01.01
1915,"Lodz, Poland",1915.01.01
1915,"Lodz, Poland",1915.01.01
1935,"Lodz, Poland",1935.01.01
1903,"Lodz, Poland",1903.01.01
1903,"Lodz, Poland",1903.01.01
1903,"Lodz, Poland",1903.01.01
1926,"Lodz, Poland",1926.01.01
1931,"Lodz, Poland",1931.01.01
1931,"Lodz, Poland",1931.01.01
1893,"Lodz, Poland",1893.01.01
1893,"Lodz, Poland",1893.01.01
1906,"Lodz, Poland",1906.01.01
1906,"Lodz, Poland",1906.01.01
1906,"Lodz, Poland",1906.01.01
1929,"Lodz, Poland",1929.01.01
1925,"Lodz, Poland",1925.01.01
1925,"Lodz, Poland",1925.01.01
1885,"Lodz, Poland",1885.01.01
1885,"Lodz, Poland",1885.01.01
1885,"Lodz, Poland",1885.01.01
1901,"Lodz, Poland",1901.01.01
1901,"Lodz, Poland",1901.01.01
1901,"Lodz, Poland",1901.01.01
1908,"Lodz, Poland",1908.01.01
1908,"Lodz, Poland",1908.01.01
1908,"Lodz, Poland",1908.01.01
1908,"Lodz, Poland",1908.01.01
1908,"Lodz, Poland",1908.01.01
1905,"Lodz, Poland",1905.01.01
1905,"Lodz, Poland",1905.01.01
1905,"Lodz, Poland",1905.01.01
1913,"Lodz, Poland",1913.01.01
1913,"Lodz, Poland",1913.01.01
1913,"Lodz, Poland",1913.01.01
1913,"Lodz, Poland",1913.01.01
1913,"Lodz, Poland",1913.01.01
1913,"Lodz, Poland",1913.01.01
1907,"Lodz, Poland",1907.01.01
1907,"Lodz, Poland",1907.01.01
1907,"Lodz, Poland",1907.01.01
1907,"Lodz, Poland",1907.01.01
1933,"Lodz, Poland",1933.01.01
1883,"Lodz, Poland",1883.01.01
1883,"Lodz, Poland",1883.01.01
1897,"Lodz, Poland",1897.01.01
1897,"Lodz, Poland",1897.01.01
1897,"Lodz, Poland",1897.01.01
1897,"Lodz, Poland",1897.01.01
1897,"Lodz, Poland",1897.01.01
1896,"Lodz, Poland",1896.01.01
1896,"Lodz, Poland",1896.01.01
1896,"Lodz, Poland",1896.01.01
1916,"Lodz, Poland",1916.01.01
1916,"Lodz, Poland",1916.01.01
1916,"Lodz, Poland",1916.01.01
1868,"Lodz, Poland",1868.01.01
1917,"Lodz, Poland",1917.01.01
1917,"Lodz, Poland",1917.01.01
1888,"Lodz, Poland",1888.01.01
1888,"Lodz, Poland",1888.01.01
1919,"Lodz, Poland",1919.01.01
1938,"Lodz, Poland",1938.01.01
1887,"Lodz, Poland",1887.01.01
1887,"Lodz, Poland",1887.01.01
1886,"Lodz, Poland",1886.01.01
1886,"Lodz, Poland",1886.01.01
1872,"Lodz, Poland",1872.01.01
1876,"Lodz, Poland",1876.01.01
1876,"Lodz, Poland",1876.01.01
1934,"Lodz, Poland",1934.01.01
1934,"Lodz, Poland",1934.01.01
1939,"Lodz, Poland",1939.01.01
1920,"Torun, Czechoslovakia",1920.01.01
1895,"Torun, Czechoslovakia",1895.01.01
1919,"Torun, Czechoslovakia",1919.01.01
1920,"Zborov, Czechoslovakia",1920.01.01
1923,"Zborov, Czechoslovakia",1923.01.01
1940,"Zborov, Czechoslovakia",1940.01.01
1920,"Jenzejow, Poland",1920.01.01
1920,"Jedrzejow, Poland",1920.01.01
1920,"Jedrzejow, Poland",1920.01.01
1895,"Jedrzejow, Poland",1895.01.01
1890,"Jedrzejow, Poland",1890.01.01
1913,"Jedrzejow, Poland",1913.01.01
1919,"Jedrzejow, Poland",1919.01.01
1920,"Bendzin, Poland",1920.01.01
1902,"Bendzin, Poland",1902.01.01
1902,"Bendzin, Poland",1902.01.01
1880,"Bendzin, Poland",1880.01.01
1880,"Bendzin, Poland",1880.01.01
1880,"Bendzin, Poland",1880.01.01
1898,"Bendzin, Poland",1898.01.01
1914,"Bendzin, Poland",1914.01.01
1895,"Bendzin, Poland",1895.01.01
1922,"Bendzin, Poland",1922.01.01
1932,"Bendzin, Poland",1932.01.01
1890,"Bendzin, Poland",1890.01.01
1890,"Bendzin, Poland",1890.01.01
1928,"Bendzin, Poland",1928.01.01
1921,"Bendzin, Poland",1921.01.01
1909,"Bendzin, Poland",1909.01.01
1911,"Bendzin, Poland",1911.01.01
1915,"Bendzin, Poland",1915.01.01
1877,"Bendzin, Poland",1877.01.01
1879,"Bendzin, Poland",1879.01.01
1879,"Bendzin, Poland",1879.01.01
1907,"Bendzin, Poland",1907.01.01
1896,"Bendzin, Poland",1896.01.01
1916,"Bendzin, Poland",1916.01.01
1917,"Bendzin, Poland",1917.01.01
1888,"Bendzin, Poland",1888.01.01
1919,"Bendzin, Poland",1919.01.01
1889,"Bendzin, Poland",1889.01.01
1940,"Bendzin, Poland",1940.01.01
1886,"Bendzin, Poland",1886.01.01
1941,"Bendzin, Poland",1941.01.01
1920,"Zator, Poland",1920.01.01
1920,"Zator, Poland",1920.01.01
1898,"Zator, Poland",1898.01.01
1900,"Zator, Poland",1900.01.01
1922,"Zator, Poland",1922.01.01
1911,"Zator, Poland",1911.01.01
1877,"Zator, Poland",1877.01.01
1920,"Sosnowiec, Poland",1920.01.01
1902,"Sosnowiec, Poland",1902.01.01
1923,"Sosnowiec, Poland",1923.01.01
1870,"Sosnowiec, Poland",1870.01.01
1900,"Sosnowiec, Poland",1900.01.01
1900,"Sosnowiec, Poland",1900.01.01
1914,"Sosnowiec, Poland",1914.01.01
1914,"Sosnowiec, Poland",1914.01.01
1895,"Sosnowiec, Poland",1895.01.01
1922,"Sosnowiec, Poland",1922.01.01
1932,"Sosnowiec, Poland",1932.01.01
1930,"Sosnowiec, Poland",1930.01.01
1890,"Sosnowiec, Poland",1890.01.01
1890,"Sosnowiec, Poland",1890.01.01
1921,"Sosnowiec, Poland",1921.01.01
1921,"Sosnowiec, Poland",1921.01.01
1909,"Sosnowiec, Poland",1909.01.01
1881,"Sosnowiec, Poland",1881.01.01
1927,"Sosnowiec, Poland",1927.01.01
1927,"Sosnowiec, Poland",1927.01.01
1918,"Sosnowiec, Poland",1918.01.01
1915,"Sosnowiec, Poland",1915.01.01
1915,"Sosnowiec, Poland",1915.01.01
1915,"Sosnowiec, Poland",1915.01.01
1915,"Sosnowiec, Poland",1915.01.01
1915,"Sosnowiec, Poland",1915.01.01
1903,"Sosnowiec, Poland",1903.01.01
1926,"Sosnowiec, Poland",1926.01.01
1893,"Sosnowiec, Poland",1893.01.01
1878,"Sosnowiec, Poland",1878.01.01
1906,"Sosnowiec, Poland",1906.01.01
1929,"Sosnowiec, Poland",1929.01.01
1908,"Sosnowiec, Poland",1908.01.01
1905,"Sosnowiec, Poland",1905.01.01
1913,"Sosnowiec, Poland",1913.01.01
1913,"Sosnowiec, Poland",1913.01.01
1907,"Sosnowiec, Poland",1907.01.01
1897,"Sosnowiec, Poland",1897.01.01
1896,"Sosnowiec, Poland",1896.01.01
1896,"Sosnowiec, Poland",1896.01.01
1896,"Sosnowiec, Poland",1896.01.01
1896,"Sosnowiec, Poland",1896.01.01
1896,"Sosnowiec, Poland",1896.01.01
1916,"Sosnowiec, Poland",1916.01.01
1917,"Sosnowiec, Poland",1917.01.01
1884,"Sosnowiec, Poland",1884.01.01
1884,"Sosnowiec, Poland",1884.01.01
1884,"Sosnowiec, Poland",1884.01.01
1888,"Sosnowiec, Poland",1888.01.01
1888,"Sosnowiec, Poland",1888.01.01
1888,"Sosnowiec, Poland",1888.01.01
1888,"Sosnowiec, Poland",1888.01.01
1919,"Sosnowiec, Poland",1919.01.01
1875,"Sosnowiec, Poland",1875.01.01
1889,"Sosnowiec, Poland",1889.01.01
1889,"Sosnowiec, Poland",1889.01.01
1887,"Sosnowiec, Poland",1887.01.01
1887,"Sosnowiec, Poland",1887.01.01
1887,"Sosnowiec, Poland",1887.01.01
1887,"Sosnowiec, Poland",1887.01.01
1886,"Sosnowiec, Poland",1886.01.01
1865,"Sosnowiec, Poland",1865.01.01
1872,"Sosnowiec, Poland",1872.01.01
1876,"Sosnowiec, Poland",1876.01.01
1920,"Wischogrod, Poland",1920.01.01
1880,"Wischogrod, Poland",1880.01.01
1883,"Wischogrod, Poland",1883.01.01
1920,"Kielce, Poland",1920.01.01
1902,"Kielce, Poland",1902.01.01
1902,"Kielce, Poland",1902.01.01
1902,"Kielce, Poland",1902.01.01
1902,"Kielce, Poland",1902.01.01
1902,"Kielce, Poland",1902.01.01
1902,"Kielce, Poland",1902.01.01
1902,"Kielce, Poland",1902.01.01
1902,"Kielce, Poland",1902.01.01
1904,"Kielce, Poland",1904.01.01
1904,"Kielce, Poland",1904.01.01
1904,"Kielce, Poland",1904.01.01
1904,"Kielce, Poland",1904.01.01
1904,"Kielce, Poland",1904.01.01
1904,"Kielce, Poland",1904.01.01
1904,"Kielce, Poland",1904.01.01
1912,"Kielce, Poland",1912.01.01
1880,"Kielce, Poland",1880.01.01
1880,"Kielce, Poland",1880.01.01
1880,"Kielce, Poland",1880.01.01
1880,"Kielce, Poland",1880.01.01
1891,"Kielce, Poland",1891.01.01
