birth,location,date
1920,"Krynica, Poland",1920.01.01
1920,"Gwozdziec, Poland",1920.01.01
1902,"Gwozdziec, Poland",1902.01.01
1920,"Dresden, Germany",1920.01.01
1920,"Dresden, Germany",1920.01.01
1899,"Dresden, Germany",1899.01.01
1899,"Dresden, Germany",1899.01.01
1912,"Dresden, Germany",1912.01.01
1912,"Dresden, Germany",1912.01.01
1880,"Dresden, Germany",1880.01.01
1900,"Dresden, Germany",1900.01.01
1878,"Dresden, Germany",1878.01.01
1920,"Kobryn, Poland",1920.01.01
1912,"Kobryn, Poland",1912.01.01
1880,"Kobryn, Poland",1880.01.01
1900,"Kobryn, Poland",1900.01.01
1900,"Kobryn, Poland",1900.01.01
1914,"Kobryn, Poland",1914.01.01
1910,"Kobryn, Poland",1910.01.01
1910,"Kobryn, Poland",1910.01.01
1915,"Kobryn, Poland",1915.01.01
1908,"Kobryn, Poland",1908.01.01
1917,"Kobryn, Poland",1917.01.01
1920,"Oradea Mare, Romania",1920.01.01
1912,"Oradea Mare, Romania",1912.01.01
1912,"Oradea Mare, Romania",1912.01.01
1922,"Oradea Mare, Romania",1922.01.01
1938,"Oradea Mare, Romania",1938.01.01
1920,"Oświęcim, Poland",1920.01.01
1902,"Oświęcim, Poland",1902.01.01
1902,"Oświęcim, Poland",1902.01.01
1904,"Oświęcim, Poland",1904.01.01
1923,"Oświęcim, Poland",1923.01.01
1923,"Oświęcim, Poland",1923.01.01
1898,"Oświęcim, Poland",1898.01.01
1898,"Oświęcim, Poland",1898.01.01
1870,"Oświęcim, Poland",1870.01.01
1900,"Oświęcim, Poland",1900.01.01
1900,"Oświęcim, Poland",1900.01.01
1900,"Oświęcim, Poland",1900.01.01
1895,"Oświęcim, Poland",1895.01.01
1895,"Oświęcim, Poland",1895.01.01
1892,"Oświęcim, Poland",1892.01.01
1892,"Oświęcim, Poland",1892.01.01
1932,"Oświęcim, Poland",1932.01.01
1890,"Oświęcim, Poland",1890.01.01
1910,"Oświęcim, Poland",1910.01.01
1910,"Oświęcim, Poland",1910.01.01
1921,"Oświęcim, Poland",1921.01.01
1918,"Oświęcim, Poland",1918.01.01
1894,"Oświęcim, Poland",1894.01.01
1894,"Oświęcim, Poland",1894.01.01
1894,"Oświęcim, Poland",1894.01.01
1911,"Oświęcim, Poland",1911.01.01
1911,"Oświęcim, Poland",1911.01.01
1915,"Oświęcim, Poland",1915.01.01
1915,"Oświęcim, Poland",1915.01.01
1915,"Oświęcim, Poland",1915.01.01
1931,"Oświęcim, Poland",1931.01.01
1878,"Oświęcim, Poland",1878.01.01
1906,"Oświęcim, Poland",1906.01.01
1906,"Oświęcim, Poland",1906.01.01
1929,"Oświęcim, Poland",1929.01.01
1877,"Oświęcim, Poland",1877.01.01
1879,"Oświęcim, Poland",1879.01.01
1913,"Oświęcim, Poland",1913.01.01
1883,"Oświęcim, Poland",1883.01.01
1896,"Oświęcim, Poland",1896.01.01
1896,"Oświęcim, Poland",1896.01.01
1866,"Oświęcim, Poland",1866.01.01
1888,"Oświęcim, Poland",1888.01.01
1889,"Oświęcim, Poland",1889.01.01
1867,"Oświęcim, Poland",1867.01.01
1865,"Oświęcim, Poland",1865.01.01
1860,"Oświęcim, Poland",1860.01.01
1920,"Klozenberg, Romania",1920.01.01
1902,"Klozenberg, Romania",1902.01.01
1907,"Klozenberg, Romania",1907.01.01
1907,"Klozenberg, Romania",1907.01.01
1920,"Warsaw, Poland",1920.01.01
1920,"Warsaw, Poland",1920.01.01
1920,"Warsaw, Poland",1920.01.01
1920,"Warsaw, Poland",1920.01.01
1923,"Warsaw, Poland",1923.01.01
1923,"Warsaw, Poland",1923.01.01
1912,"Warsaw, Poland",1912.01.01
1880,"Warsaw, Poland",1880.01.01
1880,"Warsaw, Poland",1880.01.01
1900,"Warsaw, Poland",1900.01.01
1900,"Warsaw, Poland",1900.01.01
1914,"Warsaw, Poland",1914.01.01
1922,"Warsaw, Poland",1922.01.01
1922,"Warsaw, Poland",1922.01.01
1932,"Warsaw, Poland",1932.01.01
1890,"Warsaw, Poland",1890.01.01
1890,"Warsaw, Poland",1890.01.01
1890,"Warsaw, Poland",1890.01.01
1910,"Warsaw, Poland",1910.01.01
1910,"Warsaw, Poland",1910.01.01
1910,"Warsaw, Poland",1910.01.01
1909,"Warsaw, Poland",1909.01.01
1909,"Warsaw, Poland",1909.01.01
1918,"Warsaw, Poland",1918.01.01
1918,"Warsaw, Poland",1918.01.01
1918,"Warsaw, Poland",1918.01.01
1911,"Warsaw, Poland",1911.01.01
1915,"Warsaw, Poland",1915.01.01
1915,"Warsaw, Poland",1915.01.01
1903,"Warsaw, Poland",1903.01.01
1906,"Warsaw, Poland",1906.01.01
1885,"Warsaw, Poland",1885.01.01
1901,"Warsaw, Poland",1901.01.01
1901,"Warsaw, Poland",1901.01.01
1901,"Warsaw, Poland",1901.01.01
1901,"Warsaw, Poland",1901.01.01
1908,"Warsaw, Poland",1908.01.01
1908,"Warsaw, Poland",1908.01.01
1879,"Warsaw, Poland",1879.01.01
1913,"Warsaw, Poland",1913.01.01
1907,"Warsaw, Poland",1907.01.01
1907,"Warsaw, Poland",1907.01.01
1907,"Warsaw, Poland",1907.01.01
1917,"Warsaw, Poland",1917.01.01
1917,"Warsaw, Poland",1917.01.01
1917,"Warsaw, Poland",1917.01.01
1919,"Warsaw, Poland",1919.01.01
1919,"Warsaw, Poland",1919.01.01
1887,"Warsaw, Poland",1887.01.01
1876,"Warsaw, Poland",1876.01.01
1860,"Warsaw, Poland",1860.01.01
1920,"Mizricz, Poland",1920.01.01
1920,"Gandowka, Poland",1920.01.01
1920,"Sid, Yugoslavia",1920.01.01
1910,"Sid, Yugoslavia",1910.01.01
1936,"Sid, Yugoslavia",1936.01.01
1920,"Seliste Nizni, Czechoslovakia",1920.01.01
1920,"Seliste Nizni, Czechoslovakia",1920.01.01
1937,"Seliste Nizni, Czechoslovakia",1937.01.01
1937,"Seliste Nizni, Czechoslovakia",1937.01.01
1938,"Seliste Nizni, Czechoslovakia",1938.01.01
1938,"Seliste Nizni, Czechoslovakia",1938.01.01
1940,"Seliste Nizni, Czechoslovakia",1940.01.01
1920,"Plonsk, Poland",1920.01.01
1920,"Plonsk, Poland",1920.01.01
1920,"Plonsk, Poland",1920.01.01
1920,"Plonsk, Poland",1920.01.01
1902,"Plonsk, Poland",1902.01.01
1904,"Plonsk, Poland",1904.01.01
1898,"Plonsk, Poland",1898.01.01
1900,"Plonsk, Poland",1900.01.01
1900,"Plonsk, Poland",1900.01.01
1882,"Plonsk, Poland",1882.01.01
1895,"Plonsk, Poland",1895.01.01
1922,"Plonsk, Poland",1922.01.01
1930,"Plonsk, Poland",1930.01.01
1890,"Plonsk, Poland",1890.01.01
1910,"Plonsk, Poland",1910.01.01
1927,"Plonsk, Poland",1927.01.01
1918,"Plonsk, Poland",1918.01.01
1918,"Plonsk, Poland",1918.01.01
1894,"Plonsk, Poland",1894.01.01
1926,"Plonsk, Poland",1926.01.01
1926,"Plonsk, Poland",1926.01.01
1925,"Plonsk, Poland",1925.01.01
1885,"Plonsk, Poland",1885.01.01
1885,"Plonsk, Poland",1885.01.01
1897,"Plonsk, Poland",1897.01.01
1920,"Praha, Czechoslovakia",1920.01.01
1920,"Praha, Czechoslovakia",1920.01.01
1912,"Praha, Czechoslovakia",1912.01.01
1912,"Praha, Czechoslovakia",1912.01.01
1891,"Praha, Czechoslovakia",1891.01.01
1914,"Praha, Czechoslovakia",1914.01.01
1918,"Praha, Czechoslovakia",1918.01.01
1901,"Praha, Czechoslovakia",1901.01.01
1884,"Praha, Czechoslovakia",1884.01.01
1920,"Krakow, Poland",1920.01.01
1920,"Krakow, Poland",1920.01.01
1920,"Krakow, Poland",1920.01.01
1899,"Krakow, Poland",1899.01.01
1904,"Krakow, Poland",1904.01.01
1904,"Krakow, Poland",1904.01.01
1923,"Krakow, Poland",1923.01.01
1912,"Krakow, Poland",1912.01.01
1912,"Krakow, Poland",1912.01.01
1880,"Krakow, Poland",1880.01.01
1898,"Krakow, Poland",1898.01.01
1898,"Krakow, Poland",1898.01.01
1898,"Krakow, Poland",1898.01.01
1898,"Krakow, Poland",1898.01.01
1870,"Krakow, Poland",1870.01.01
1937,"Krakow, Poland",1937.01.01
1900,"Krakow, Poland",1900.01.01
1900,"Krakow, Poland",1900.01.01
1900,"Krakow, Poland",1900.01.01
1914,"Krakow, Poland",1914.01.01
1914,"Krakow, Poland",1914.01.01
1895,"Krakow, Poland",1895.01.01
1895,"Krakow, Poland",1895.01.01
1895,"Krakow, Poland",1895.01.01
1922,"Krakow, Poland",1922.01.01
