birth,location,date
1940,"Amsterdam, The Netherlands",1940.01.01
1940,"Amsterdam, The Netherlands",1940.01.01
1940,"Amsterdam, The Netherlands",1940.01.01
1910,"Amsterdam, The Netherlands",1910.01.01
1908,"Amsterdam, The Netherlands",1908.01.01
1940,"Sosnowiec, Poland",1940.01.01
1929,"Sosnowiec, Poland",1929.01.01
1915,"Sosnowiec, Poland",1915.01.01
1915,"Sosnowiec, Poland",1915.01.01
1923,"Sosnowiec, Poland",1923.01.01
1918,"Sosnowiec, Poland",1918.01.01
1893,"Sosnowiec, Poland",1893.01.01
1903,"Sosnowiec, Poland",1903.01.01
1914,"Sosnowiec, Poland",1914.01.01
1909,"Sosnowiec, Poland",1909.01.01
1909,"Sosnowiec, Poland",1909.01.01
1916,"Sosnowiec, Poland",1916.01.01
1924,"Sosnowiec, Poland",1924.01.01
1884,"Sosnowiec, Poland",1884.01.01
1904,"Sosnowiec, Poland",1904.01.01
1919,"Sosnowiec, Poland",1919.01.01
1940,"Szekesfehervar, Hungary",1940.01.01
1940,"Solotvina, Czechoslovakia",1940.01.01
1940,"Juelich, Germany",1940.01.01
1940,"Feheryarmat, Hungary",1940.01.01
1922,"Lodz, Poland",1922.01.01
1897,"Lodz, Poland",1897.01.01
1897,"Lodz, Poland",1897.01.01
1880,"Lodz, Poland",1880.01.01
1880,"Lodz, Poland",1880.01.01
1880,"Lodz, Poland",1880.01.01
1915,"Lodz, Poland",1915.01.01
1923,"Lodz, Poland",1923.01.01
1895,"Lodz, Poland",1895.01.01
1895,"Lodz, Poland",1895.01.01
1910,"Lodz, Poland",1910.01.01
1910,"Lodz, Poland",1910.01.01
1910,"Lodz, Poland",1910.01.01
1917,"Lodz, Poland",1917.01.01
1888,"Lodz, Poland",1888.01.01
1900,"Lodz, Poland",1900.01.01
1900,"Lodz, Poland",1900.01.01
1900,"Lodz, Poland",1900.01.01
1889,"Lodz, Poland",1889.01.01
1918,"Lodz, Poland",1918.01.01
1935,"Lodz, Poland",1935.01.01
1893,"Lodz, Poland",1893.01.01
1914,"Lodz, Poland",1914.01.01
1905,"Lodz, Poland",1905.01.01
1909,"Lodz, Poland",1909.01.01
1894,"Lodz, Poland",1894.01.01
1916,"Lodz, Poland",1916.01.01
1898,"Lodz, Poland",1898.01.01
1875,"Lodz, Poland",1875.01.01
1925,"Lodz, Poland",1925.01.01
1913,"Lodz, Poland",1913.01.01
1884,"Lodz, Poland",1884.01.01
1869,"Lodz, Poland",1869.01.01
1934,"Lodz, Poland",1934.01.01
1922,"Monostor, Romania",1922.01.01
1922,"Nowy Korczyn, Poland",1922.01.01
1900,"Nowy Korczyn, Poland",1900.01.01
1903,"Nowy Korczyn, Poland",1903.01.01
1903,"Nowy Korczyn, Poland",1903.01.01
1905,"Nowy Korczyn, Poland",1905.01.01
1905,"Nowy Korczyn, Poland",1905.01.01
1901,"Nowy Korczyn, Poland",1901.01.01
1890,"Nowy Korczyn, Poland",1890.01.01
1916,"Nowy Korczyn, Poland",1916.01.01
1902,"Nowy Korczyn, Poland",1902.01.01
1896,"Nowy Korczyn, Poland",1896.01.01
1898,"Nowy Korczyn, Poland",1898.01.01
1920,"Nowy Korczyn, Poland",1920.01.01
1922,"Nowy Dwor, Poland",1922.01.01
1922,"Lipno, Poland",1922.01.01
1917,"Lipno, Poland",1917.01.01
1890,"Lipno, Poland",1890.01.01
1924,"Lipno, Poland",1924.01.01
1922,"Radom, Poland",1922.01.01
